Año;Mes;Moneda;Partida;Nombre Partida;Capítulo;Nombre Capítulo;Programa;Nombre Programa;Subtítulo;Nombre Subtítulo;Item;Nombre Item;Asignación;Monto Ley Inicial;Monto Ley Vigente a DICIEMBRE
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;8;OTROS INGRESOS CORRIENTES;;;;1524;1524
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;8;OTROS INGRESOS CORRIENTES;2;Multas y Sanciones Pecuniarias;;10;10
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;8;OTROS INGRESOS CORRIENTES;99;Otros;;1514;1514
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;9;APORTE FISCAL;;;;147293;159916
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;9;APORTE FISCAL;1;Libre;;147293;159916
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;10;VENTA DE ACTIVOS NO FINANCIEROS;;;;160;160
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;10;VENTA DE ACTIVOS NO FINANCIEROS;3;Vehículos;;160;160
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;11;VENTA DE ACTIVOS FINANCIEROS;;;;2037;2013
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;11;VENTA DE ACTIVOS FINANCIEROS;3;Operaciones de Cambio;;2037;2013
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;12;RECUPERACIÓN DE PRÉSTAMOS;;;;100;100
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;12;RECUPERACIÓN DE PRÉSTAMOS;7;Por Anticipos por Cambio de Residencia;;100;100
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;15;SALDO INICIAL DE CAJA;;;;0;24
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;21;GASTOS EN PERSONAL;;;;88203;84303
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;22;BIENES Y SERVICIOS DE CONSUMO;;;;37492;40747
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;23;PRESTACIONES DE SEGURIDAD SOCIAL;;;;110;480
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;23;PRESTACIONES DE SEGURIDAD SOCIAL;3;Prestaciones Sociales del Empleador;;110;480
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;;;;22798;35421
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;1;Al Sector Privado;;215;215
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;1;Al Sector Privado;3;35;35
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;1;Al Sector Privado;4;120;120
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;1;Al Sector Privado;8;60;60
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;;2453;2453
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;37;421;421
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;614;15;15
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;619;249;249
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;625;35;35
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;627;126;126
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;629;1325;1325
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;631;282;282
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;6;A Gobiernos Extranjeros;;10;10
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;6;A Gobiernos Extranjeros;2;10;10
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;7;A Organismos Internacionales;;20120;32743
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;7;A Organismos Internacionales;1;20120;32743
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;26;OTROS GASTOS CORRIENTES;;;;110;110
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;26;OTROS GASTOS CORRIENTES;2;Compensaciones por Daños a Terceros y/o a la Propiedad;;110;110
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;;;;1876;2151
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;3;Vehículos;;200;395
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;4;Mobiliario y Otros;;155;220
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;5;Máquinas y Equipos;;0;15
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;6;Equipos Informáticos;;539;554
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;7;Programas Informáticos;;802;802
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;99;Otros Activos no Financieros;;180;165
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;31;INICIATIVAS DE INVERSIÓN;;;;425;425
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;31;INICIATIVAS DE INVERSIÓN;2;Proyectos;;425;425
